round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,0.48357795999999675,1799.51642204,2000,8.964265960000041,8.964265960000041,20000
2,0.4923608399999965,1799.0240612,2000,8.969520839999943,17.933786799999986,40000
3,0.45764723999999735,1798.56641396,2000,9.132699239999948,27.066486039999933,60000
4,0.45237571999999737,1798.1140382400001,2000,9.165707719999933,36.232193759999866,80000
5,0.4519352399999974,1797.6621030000001,2000,9.14426723999996,45.37646099999983,100000
6,0.4475397999999976,1797.2145632000002,2000,9.18347179999999,54.55993279999982,120000
7,0.4506182799999976,1796.76394492,2000,9.16103027999993,63.72096307999975,140000
8,0.4435847599999977,1796.32036016,2000,9.193176759999975,72.91413983999972,160000
9,0.45808411999999704,1795.86227604,2000,9.133720119999934,82.04785995999966,180000
10,0.4484193199999977,1795.41385672,2000,9.18298731999992,91.23084727999958,200000
11,0.44929859999999744,1794.96455812,2000,9.167422599999977,100.39826987999956,220000
12,0.45061683999999763,1794.51394128,2000,9.17144483999992,109.56971471999948,240000
13,0.4510561999999975,1794.06288508,2000,9.163532199999937,118.73324691999942,260000
14,0.4492977999999977,1793.6135872799998,2000,9.169013799999929,127.90226071999935,280000
15,0.4440233999999977,1793.1695638799997,2000,9.187987399999944,137.0902481199993,300000
16,0.4567721999999971,1792.7127916799998,2000,9.145700199999993,146.2359483199993,320000
17,0.45017451999999764,1792.2626171599998,2000,9.164098519999888,155.4000468399992,340000
18,0.44841851999999766,1791.8141986399999,2000,9.177726519999958,164.57777335999916,360000
19,0.44973819999999765,1791.36446044,2000,9.169170199999904,173.74694355999907,380000
20,0.4435890799999977,1790.9208713599999,2000,9.190321079999991,182.93726463999906,400000
21,0.45061627999999754,1790.4702550799998,2000,9.171020279999913,192.10828491999897,420000
22,0.4576482799999974,1790.0126067999997,2000,9.150464279999973,201.25874919999893,440000
23,0.44974107999999746,1789.5628657199998,2000,9.17241307999993,210.43116227999886,460000
24,0.44622291999999775,1789.1166427999997,2000,9.18146291999993,219.61262519999877,480000
25,0.45500955999999737,1788.6616332399997,2000,9.158917559999923,228.7715427599987,500000
26,0.4519313199999975,1788.2097019199996,2000,9.152879319999958,237.92442207999866,520000
27,0.4457838799999977,1787.7639180399997,2000,9.180051879999962,247.10447395999861,540000
28,0.4462229999999977,1787.3176950399998,2000,9.182194999999908,256.2866689599985,560000
29,0.45325619999999733,1786.8644388399998,2000,9.16106819999994,265.44773715999844,580000
30,0.4554489999999973,1786.4089898399998,2000,9.156020999999935,274.6037581599984,600000
31,0.4466642799999976,1785.9623255599997,2000,9.175524279999928,283.7792824399983,620000
32,0.4510567599999976,1785.5112687999997,2000,9.163680759999961,292.9429631999983,640000
33,0.44797987999999755,1785.0632889199996,2000,9.17277587999992,302.1157390799982,660000
34,0.4479772399999976,1784.6153116799996,2000,9.18565723999996,311.30139631999816,680000
35,0.4488598799999976,1784.1664517999995,2000,9.162907879999926,320.4643041999981,700000
36,0.4449017999999977,1783.7215499999995,2000,9.183137799999987,329.6474419999981,720000
37,0.4541385199999972,1783.2674114799995,2000,9.164566519999909,338.812008519998,740000
38,0.4475375599999976,1782.8198739199995,2000,9.183345559999927,347.9953540799979,760000
39,0.44622259999999764,1782.3736513199995,2000,9.175178599999954,357.1705326799979,780000
40,0.45105619999999763,1781.9225951199994,2000,9.16772819999993,366.33826087999785,800000
41,0.45237163999999747,1781.4702234799995,2000,9.152063639999975,375.49032451999784,820000
42,0.4528134799999974,1781.0174099999995,2000,9.16067747999992,384.6510019999978,840000
43,0.44886235999999763,1780.5685476399995,2000,9.181242359999947,393.83224435999773,860000
44,0.4514996399999974,1780.1170479999994,2000,9.161891639999972,402.9941359999977,880000
45,0.4506185199999975,1779.6664294799994,2000,9.1640865199999,412.1582225199976,900000
46,0.4492982799999976,1779.2171311999994,2000,9.175342279999994,421.3335647999976,920000
47,0.44490331999999766,1778.7722278799993,2000,9.1906633199999,430.5242281199975,940000
48,0.4528145999999974,1778.3194132799993,2000,9.156590599999966,439.68081871999743,960000
