round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,0.5522153999999978,2699.4477846,2000,8.68709140000001,8.68709140000001,8000
2,0.5447430799999975,2698.90304152,2000,8.681731079999928,17.36882247999994,16000
3,0.5289308399999971,2698.37411068,2000,8.759262839999964,26.128085319999904,24000
4,0.5333268399999974,2697.84078384,2000,8.75523083999994,34.88331615999984,32000
5,0.5324417199999975,2697.30834212,2000,8.757201719999957,43.6405178799998,40000
6,0.527173959999997,2696.78116816,2000,8.778433959999962,52.418951839999764,48000
7,0.5359591599999975,2696.245209,2000,8.759183159999965,61.17813499999973,56000
8,0.5315640399999974,2695.7136449600002,2000,8.764640039999975,69.9427750399997,64000
9,0.5306826799999974,2695.18296228,2000,8.768870679999955,78.71164571999965,72000
10,0.5267338799999971,2694.6562284,2000,8.786709879999973,87.49835559999963,80000
11,0.527609959999997,2694.12861844,2000,8.775029959999962,96.27338555999958,88000
12,0.527173959999997,2693.6014444800003,2000,8.778433959999962,105.05181951999954,96000
13,0.5390318799999976,2693.0624126000002,2000,8.75302387999996,113.8048433999995,104000
14,0.5276114799999969,2692.5348011200003,2000,8.774531479999963,122.57937487999946,112000
15,0.5315625199999974,2692.0032386000003,2000,8.765118519999975,131.34449339999944,120000
16,0.5293685199999971,2691.4738700800003,2000,8.772392519999965,140.1168859199994,128000
17,0.5302451599999974,2690.9436249200003,2000,8.77267315999995,148.88955907999934,136000
18,0.5276114799999969,2690.4160134400004,2000,8.774611479999963,157.66417055999932,144000
19,0.5333245199999975,2689.8826889200004,2000,8.773480519999966,166.43765107999928,152000
20,0.5276114799999969,2689.3550774400005,2000,8.774531479999963,175.21218255999923,160000
21,0.5302451599999974,2688.8248322800005,2000,8.77267315999995,183.9848557199992,168000
22,0.5337585999999974,2688.2910736800004,2000,8.75911859999998,192.74397431999915,176000
23,0.5271724399999971,2687.7639012400005,2000,8.77883243999996,201.52280675999913,184000
24,0.5276114799999969,2687.2362897600005,2000,8.774611479999963,210.2974182399991,192000
25,0.5390318799999976,2686.6972578800005,2000,8.75302387999996,219.05044211999908,200000
26,0.527173959999997,2686.1700839200007,2000,8.778353959999961,227.82879607999905,208000
27,0.527609959999997,2685.6424739600006,2000,8.775029959999962,236.603826039999,216000
28,0.5267338799999971,2685.1157400800007,2000,8.786709879999973,245.39053591999897,224000
29,0.5350727599999975,2684.580667320001,2000,8.755156759999974,254.14569267999894,232000
30,0.527173959999997,2684.053493360001,2000,8.778433959999962,262.9241266399989,240000
31,0.5359591599999975,2683.517534200001,2000,8.759183159999965,271.6833097999989,248000
32,0.527173959999997,2682.9903602400013,2000,8.778353959999961,280.4616637599988,256000
33,0.5306826799999974,2682.459677560001,2000,8.768870679999955,289.2305344399988,264000
