round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,0.4941528399999961,1790.50584716,2000,8.79881684000001,8.79881684000001,12000
2,0.4752485199999962,1790.03059864,2000,16.415136519999937,25.213953359999948,24000
3,0.45019811999999676,1789.58040052,2000,24.16933812,49.38329147999995,36000
4,0.4471240399999967,1789.13327648,2000,31.98945604000005,81.37274751999999,48000
5,0.4510785199999966,1788.68219796,2000,39.759442519999986,121.13219003999998,60000
6,0.45064035999999674,1788.2315575999999,2000,47.58065236000036,168.71284240000034,72000
7,0.44976051999999667,1787.78179708,2000,55.29150452000034,224.00434692000067,84000
8,0.4471248399999967,1787.33467224,2000,63.17777284000007,287.1821197600007,96000
9,0.4528380399999967,1786.8818342,2000,70.88099404000008,358.0631138000008,108000
10,0.44976147999999666,1786.43207272,2000,78.72656548000006,436.7896792800009,120000
11,0.44931787999999667,1785.9827548399999,2000,86.50022587999997,523.2899051600009,132000
12,0.44932267999999687,1785.5334321599998,2000,94.24135068000056,617.5312558400014,144000
13,0.4519576399999966,1785.0814745199998,2000,102.03561364000021,719.5668694800016,156000
14,0.4471253999999967,1784.6343491199998,2000,109.93470940000039,829.5015788800021,168000
15,0.4479993999999967,1784.1863497199997,2000,117.61393939999996,947.115518280002,180000
16,0.4510791599999967,1783.7352705599997,2000,125.5107271600007,1072.6262454400028,192000
17,0.4528384399999967,1783.2824321199996,2000,133.11410644,1205.740351880003,204000
18,0.4471242799999967,1782.8353078399996,2000,141.0519322800008,1346.7922841600036,216000
19,0.45019939999999664,1782.3851084399996,2000,148.7619553999993,1495.554239560003,228000
20,0.4480043599999966,1781.9371040799997,2000,156.66196435999916,1652.216203920002,240000
21,0.4523937199999966,1781.4847103599998,2000,164.30382171999983,1816.520025640002,252000
22,0.4488828399999968,1781.0358275199999,2000,172.15961883999975,1988.6796444800016,264000
23,0.4488811599999966,1780.58694636,2000,179.98671716000058,2168.666361640002,276000
24,0.44800323999999664,1780.13894312,2000,187.74966723999927,2356.4160288800012,288000
25,0.4519570799999965,1779.68698604,2000,195.46226907999957,2551.878297960001,300000
26,0.4488813199999967,1779.23810472,2000,203.48204132000026,2755.3603392800014,312000
27,0.4484390799999967,1778.7896656399998,2000,210.94990708000077,2966.310246360002,324000
28,0.44932275999999677,1778.3403428799998,2000,218.94594675999915,3185.256193120001,336000
29,0.4515184399999966,1777.8888244399998,2000,226.59995843999965,3411.856151560001,348000
30,0.4493235599999968,1777.4395008799997,2000,234.54335155999937,3646.39950312,360000
31,0.4497559599999967,1776.9897449199998,2000,242.2672119599981,3888.666715079998,372000
32,0.4488831599999968,1776.5408617599999,2000,250.10013916000128,4138.76685424,384000
