round,total disipated energy in this round,residual energy upto round,number of nodes alive till round,Total Energy consumed in this round,TotalEnergyconsumed till this round,data sent from lower to upper nodes in this round
1,123.7249399999999,1667.2750600000002,2000,2222.1979399999836,2222.1979399999836,1000000
2,118.01030000000007,1672.9896999999999,2000,4150.514299999976,6372.71223999996,1000000
3,110.65191999999999,1680.34808,2000,6109.128919999946,12481.841159999905,1000000
4,109.44417999999995,1681.55582,1992,8100.88118000002,20582.722339999927,1000000
5,107.71885999999998,1683.28114,1992,10035.677860000023,30618.400199999953,1000000
6,106.61945999999992,1684.38054,1992,12020.498459999886,42638.89865999984,1000000
7,106.29007999999993,1684.70992,1991,13992.624080000209,56631.522740000044,1000000
8,106.45956999999996,1684.54043,1981,16001.069569999994,72632.59231000004,1000000
9,107.70644999999995,1683.29355,1979,17842.24645000007,90474.8387600001,1000000
10,106.17580999999994,1684.82419,768,19794.315809999975,110269.15457000007,1000000
11,39.66378999999995,1751.33621,767,8003.43979,118272.59436000008,0
12,38.95460999999993,1752.04539,765,8300.360610000034,126572.95497000011,0
13,38.74202999999994,1752.2579700000001,763,8586.840030000005,135159.7950000001,0
14,38.64023999999994,1752.35976,763,8873.75824000001,144033.5532400001,0
15,38.64023999999994,1752.35976,751,9181.493240000022,153215.0464800001,0
16,38.137289999999936,1752.86271,751,9322.782289999994,162537.8287700001,0
17,38.027489999999936,1752.97251,729,9620.49248999999,172158.3212600001,0
18,37.01650999999995,1753.98349,729,9621.974510000024,181780.29577000014,0
19,36.90688999999995,1754.09311,722,9905.22488999999,191685.52066000013,0
20,36.55006999999995,1754.44993,722,10080.197070000013,201765.71773000015,0
21,36.55006999999995,1754.44993,700,10357.552070000022,212123.26980000018,0
22,35.42557999999994,1755.5744200000001,700,10283.928580000025,222407.19838000022,0
23,35.42557999999994,1755.5744200000001,680,10545.453579999985,232952.6519600002,0
24,34.403119999999944,1756.59688,674,10480.22112000001,243432.8730800002,0
25,34.09940999999995,1756.90059,672,10635.595409999994,254068.46849000017,0
26,33.99642999999995,1757.00357,667,10856.084430000028,264924.5529200002,0
27,33.74206999999994,1757.25793,667,11005.417070000007,275929.96999000025,0
28,33.74206999999994,1757.25793,617,11244.63707000001,287174.60706000024,0
29,31.52901999999997,1759.47098,605,10618.086019999977,297792.69308000023,0
30,30.692489999999975,1760.30751,0,10613.82349000001,308406.5165700002,0
